source,relation,target,target_type
Angina,associated_with,Migraine,disease
Antivirals,prescribed_by,Pulmonologist,specialist
Asthma,treated_by,Corticosteroids,treatment
Joint Pain,indicates,Angina,disease
Corticosteroids,prescribed_by,Pulmonologist,specialist
NSAIDs,prescribed_by,Pulmonologist,specialist
Angina,associated_with,Angina,disease
Joint Pain,indicates,Asthma,disease
COVID-19,causes,Fever,symptom
Influenza,causes,Joint Pain,symptom
Influenza,causes,Shortness of Breath,symptom
Arthritis,associated_with,COVID-19,disease
Asthma,associated_with,Pneumonia,disease
COVID-19,treated_by,ACE Inhibitors,treatment
Chest Pain,indicates,Bronchitis,disease
Conjunctivitis,associated_with,Bronchitis,disease
Diabetes,treated_by,NSAIDs,treatment
Pneumonia,treated_by,Nitroglycerin,treatment
Blurred Vision,indicates,Diabetes,disease
Nausea,indicates,Pneumonia,disease
Migraine,managed_by,Pulmonologist,specialist
Dizziness,indicates,Arthritis,disease
COVID-19,associated_with,Pneumonia,disease
Conjunctivitis,associated_with,Tuberculosis,disease
Migraine,diagnosed_by,Urinalysis,diagnostic_test
Angina,associated_with,COVID-19,disease
Headache,indicates,Diabetes,disease
Asthma,causes,Fever,symptom
Migraine,associated_with,Arthritis,disease
Cough,indicates,Hypertension,disease
COVID-19,causes,Blurred Vision,symptom
Hypertension,diagnosed_by,X-Ray,diagnostic_test
Tuberculosis,managed_by,Infectious Disease Specialist,specialist
IV Fluids,prescribed_by,Ophthalmologist,specialist
Bronchitis,managed_by,Rheumatologist,specialist
Migraine,diagnosed_by,CT Scan,diagnostic_test
Chest Pain,indicates,Tuberculosis,disease
Pneumonia,managed_by,Ophthalmologist,specialist
Angina,associated_with,Pneumonia,disease
NSAIDs,prescribed_by,Dermatologist,specialist
Antibiotics,prescribed_by,Rheumatologist,specialist
Arthritis,associated_with,COVID-19,disease
Angina,associated_with,Pneumonia,disease
Headache,indicates,Arthritis,disease
Pneumonia,treated_by,Corticosteroids,treatment
COVID-19,diagnosed_by,CT Scan,diagnostic_test
Tuberculosis,associated_with,Angina,disease
Corticosteroids,prescribed_by,Ophthalmologist,specialist
Bronchitis,causes,Headache,symptom
Dizziness,indicates,COVID-19,disease
Influenza,diagnosed_by,Urinalysis,diagnostic_test
NSAIDs,prescribed_by,Endocrinologist,specialist
Bronchitis,causes,Rash,symptom
COVID-19,diagnosed_by,Blood Test,diagnostic_test
Hypertension,diagnosed_by,X-Ray,diagnostic_test
Insulin,prescribed_by,General Practitioner,specialist
Antivirals,prescribed_by,Endocrinologist,specialist
Bronchitis,managed_by,Ophthalmologist,specialist
Influenza,treated_by,Pain Relievers,treatment
Hypertension,treated_by,Insulin,treatment
Influenza,associated_with,Angina,disease
Joint Pain,indicates,COVID-19,disease
Angina,diagnosed_by,ECG,diagnostic_test
Sore Throat,indicates,Hypertension,disease
Arthritis,associated_with,Arthritis,disease
Fatigue,indicates,Pneumonia,disease
COVID-19,treated_by,Pain Relievers,treatment
Pneumonia,associated_with,Hypertension,disease
Pain Relievers,prescribed_by,Rheumatologist,specialist
Diabetes,causes,Nausea,symptom
ACE Inhibitors,prescribed_by,Endocrinologist,specialist
Diabetes,treated_by,Pain Relievers,treatment
Migraine,causes,Headache,symptom
Diabetes,diagnosed_by,Urinalysis,diagnostic_test
Migraine,diagnosed_by,Blood Test,diagnostic_test
Bronchitis,associated_with,Diabetes,disease
IV Fluids,prescribed_by,Dermatologist,specialist
Tuberculosis,managed_by,General Practitioner,specialist
Influenza,causes,Rash,symptom
Pneumonia,diagnosed_by,Blood Test,diagnostic_test
Influenza,diagnosed_by,CT Scan,diagnostic_test
Conjunctivitis,treated_by,Nitroglycerin,treatment
Influenza,associated_with,Arthritis,disease
Bronchitis,treated_by,ACE Inhibitors,treatment
Blurred Vision,indicates,Arthritis,disease
Bronchitis,associated_with,Tuberculosis,disease
Migraine,managed_by,Ophthalmologist,specialist
Arthritis,treated_by,Corticosteroids,treatment
Corticosteroids,prescribed_by,Dermatologist,specialist
Asthma,managed_by,General Practitioner,specialist
Conjunctivitis,diagnosed_by,Urinalysis,diagnostic_test
Antivirals,prescribed_by,Dermatologist,specialist
Dizziness,indicates,Angina,disease
Asthma,causes,Sore Throat,symptom
Beta Blockers,prescribed_by,Ophthalmologist,specialist
Pneumonia,causes,Fatigue,symptom
Angina,managed_by,Neurologist,specialist
Nausea,indicates,Asthma,disease
Eye Drops,prescribed_by,Endocrinologist,specialist
Angina,causes,Shortness of Breath,symptom
Asthma,managed_by,Infectious Disease Specialist,specialist
Blurred Vision,indicates,Tuberculosis,disease
Bronchitis,treated_by,Beta Blockers,treatment
Tuberculosis,associated_with,Bronchitis,disease
Hypertension,associated_with,Influenza,disease
Bronchitis,causes,Fatigue,symptom
Pain Relievers,prescribed_by,General Practitioner,specialist
Angina,causes,Dizziness,symptom
NSAIDs,prescribed_by,Dermatologist,specialist
COVID-19,managed_by,Ophthalmologist,specialist
Pneumonia,associated_with,Arthritis,disease
Pain Relievers,prescribed_by,Cardiologist,specialist
Migraine,associated_with,Bronchitis,disease
Tuberculosis,causes,Sore Throat,symptom
Migraine,associated_with,Angina,disease
Arthritis,managed_by,Ophthalmologist,specialist
Insulin,prescribed_by,Endocrinologist,specialist
Shortness of Breath,indicates,Influenza,disease
Antivirals,prescribed_by,General Practitioner,specialist
Diabetes,managed_by,Infectious Disease Specialist,specialist
Angina,associated_with,Migraine,disease
Insulin,prescribed_by,Rheumatologist,specialist
Nitroglycerin,prescribed_by,Ophthalmologist,specialist
Migraine,diagnosed_by,ECG,diagnostic_test
Nitroglycerin,prescribed_by,Dermatologist,specialist
Pneumonia,diagnosed_by,Urinalysis,diagnostic_test
Arthritis,associated_with,Angina,disease
Fatigue,indicates,Asthma,disease
Arthritis,associated_with,Conjunctivitis,disease
Migraine,treated_by,Inhalers,treatment
Fever,indicates,Pneumonia,disease
Dizziness,indicates,Pneumonia,disease
Arthritis,causes,Cough,symptom
Hypertension,associated_with,Hypertension,disease
Sore Throat,indicates,Conjunctivitis,disease
Diabetes,associated_with,Influenza,disease
NSAIDs,prescribed_by,Infectious Disease Specialist,specialist
Asthma,treated_by,Antibiotics,treatment
Influenza,treated_by,Insulin,treatment
Influenza,managed_by,Endocrinologist,specialist
Shortness of Breath,indicates,Pneumonia,disease
Arthritis,associated_with,Influenza,disease
Asthma,treated_by,Insulin,treatment
NSAIDs,prescribed_by,Cardiologist,specialist
Migraine,diagnosed_by,Urinalysis,diagnostic_test
Asthma,managed_by,Ophthalmologist,specialist
Pneumonia,causes,Nausea,symptom
Influenza,diagnosed_by,Urinalysis,diagnostic_test
Asthma,diagnosed_by,MRI,diagnostic_test
Tuberculosis,causes,Chest Pain,symptom
COVID-19,causes,Nausea,symptom
Conjunctivitis,diagnosed_by,Urinalysis,diagnostic_test
Hypertension,associated_with,Arthritis,disease
Influenza,associated_with,Diabetes,disease
Diabetes,causes,Fever,symptom
Pneumonia,causes,Nausea,symptom
Influenza,causes,Chest Pain,symptom
Arthritis,diagnosed_by,ECG,diagnostic_test
Antibiotics,prescribed_by,Pulmonologist,specialist
Arthritis,diagnosed_by,CT Scan,diagnostic_test
Fatigue,indicates,Influenza,disease
Hypertension,causes,Fatigue,symptom
Hypertension,managed_by,Dermatologist,specialist
Migraine,treated_by,Antivirals,treatment
NSAIDs,prescribed_by,Cardiologist,specialist
Migraine,causes,Headache,symptom
Conjunctivitis,causes,Cough,symptom
Migraine,causes,Fatigue,symptom
Corticosteroids,prescribed_by,Ophthalmologist,specialist
Angina,diagnosed_by,MRI,diagnostic_test
Chest Pain,indicates,Angina,disease
Shortness of Breath,indicates,Arthritis,disease
Headache,indicates,Diabetes,disease
Angina,associated_with,Asthma,disease
Arthritis,managed_by,Pulmonologist,specialist
Influenza,diagnosed_by,Blood Test,diagnostic_test
Pneumonia,managed_by,Cardiologist,specialist
Pneumonia,causes,Chest Pain,symptom
Fever,indicates,Conjunctivitis,disease
Migraine,managed_by,Neurologist,specialist
Migraine,associated_with,Bronchitis,disease
Tuberculosis,diagnosed_by,X-Ray,diagnostic_test
Diabetes,managed_by,Neurologist,specialist
Hypertension,associated_with,Hypertension,disease
Tuberculosis,causes,Blurred Vision,symptom
IV Fluids,prescribed_by,General Practitioner,specialist
ACE Inhibitors,prescribed_by,Dermatologist,specialist
Migraine,causes,Chest Pain,symptom
Headache,indicates,Pneumonia,disease
COVID-19,managed_by,Neurologist,specialist
Arthritis,managed_by,Dermatologist,specialist
Migraine,managed_by,Endocrinologist,specialist
Migraine,associated_with,Angina,disease
Shortness of Breath,indicates,Tuberculosis,disease
Migraine,causes,Fatigue,symptom
Diabetes,managed_by,Pulmonologist,specialist
Diabetes,treated_by,NSAIDs,treatment
Diabetes,diagnosed_by,ECG,diagnostic_test
Migraine,causes,Headache,symptom
Headache,indicates,Arthritis,disease
Conjunctivitis,treated_by,Antibiotics,treatment
Blurred Vision,indicates,Tuberculosis,disease
Pneumonia,diagnosed_by,Blood Test,diagnostic_test
Tuberculosis,diagnosed_by,CT Scan,diagnostic_test
Influenza,associated_with,Arthritis,disease
Pain Relievers,prescribed_by,Dermatologist,specialist
Bronchitis,treated_by,Beta Blockers,treatment
Tuberculosis,treated_by,ACE Inhibitors,treatment
Antivirals,prescribed_by,Dermatologist,specialist
Arthritis,causes,Rash,symptom
Cough,indicates,Pneumonia,disease
Antivirals,prescribed_by,Dermatologist,specialist
Arthritis,diagnosed_by,Blood Test,diagnostic_test
Influenza,associated_with,Arthritis,disease
COVID-19,causes,Joint Pain,symptom
Arthritis,diagnosed_by,ECG,diagnostic_test
Conjunctivitis,causes,Sore Throat,symptom
Conjunctivitis,causes,Chest Pain,symptom
Headache,indicates,Pneumonia,disease
Diabetes,associated_with,Asthma,disease
Arthritis,treated_by,Insulin,treatment
Inhalers,prescribed_by,Dermatologist,specialist
Angina,associated_with,COVID-19,disease
Angina,causes,Nausea,symptom
Conjunctivitis,treated_by,NSAIDs,treatment
Angina,causes,Cough,symptom
Arthritis,diagnosed_by,Blood Test,diagnostic_test
Sore Throat,indicates,Conjunctivitis,disease
Eye Drops,prescribed_by,Endocrinologist,specialist
Tuberculosis,associated_with,Arthritis,disease
Diabetes,treated_by,Nitroglycerin,treatment
Joint Pain,indicates,Asthma,disease
Diabetes,diagnosed_by,ECG,diagnostic_test
Inhalers,prescribed_by,Dermatologist,specialist
Tuberculosis,causes,Headache,symptom
Arthritis,diagnosed_by,Blood Test,diagnostic_test
Pneumonia,associated_with,Diabetes,disease
Pneumonia,associated_with,Pneumonia,disease
Angina,associated_with,Angina,disease
Antivirals,prescribed_by,Dermatologist,specialist
Hypertension,diagnosed_by,Blood Test,diagnostic_test
Conjunctivitis,associated_with,Angina,disease
Diabetes,associated_with,Asthma,disease
Migraine,associated_with,Hypertension,disease
Conjunctivitis,causes,Headache,symptom
Cough,indicates,Angina,disease
Diabetes,managed_by,Rheumatologist,specialist
Migraine,managed_by,Infectious Disease Specialist,specialist
Hypertension,managed_by,Dermatologist,specialist
Arthritis,diagnosed_by,MRI,diagnostic_test
Hypertension,diagnosed_by,Blood Test,diagnostic_test
Nitroglycerin,prescribed_by,Dermatologist,specialist
Migraine,diagnosed_by,CT Scan,diagnostic_test
Asthma,associated_with,Diabetes,disease
Tuberculosis,managed_by,Ophthalmologist,specialist
Influenza,treated_by,IV Fluids,treatment
Bronchitis,treated_by,Pain Relievers,treatment
Antivirals,prescribed_by,Pulmonologist,specialist
Angina,managed_by,Ophthalmologist,specialist
Diabetes,causes,Chest Pain,symptom
Angina,diagnosed_by,ECG,diagnostic_test
Angina,diagnosed_by,X-Ray,diagnostic_test
Conjunctivitis,treated_by,Nitroglycerin,treatment
Pain Relievers,prescribed_by,Pulmonologist,specialist
Arthritis,diagnosed_by,MRI,diagnostic_test
Diabetes,causes,Headache,symptom
Fatigue,indicates,Asthma,disease
Hypertension,associated_with,Influenza,disease
Hypertension,diagnosed_by,CT Scan,diagnostic_test
Fever,indicates,Hypertension,disease
Influenza,diagnosed_by,X-Ray,diagnostic_test
Diabetes,treated_by,Beta Blockers,treatment
Fever,indicates,Influenza,disease
Migraine,treated_by,Antibiotics,treatment
Chest Pain,indicates,Asthma,disease
Fever,indicates,Conjunctivitis,disease
Pain Relievers,prescribed_by,Neurologist,specialist
Bronchitis,diagnosed_by,X-Ray,diagnostic_test
Blurred Vision,indicates,Diabetes,disease
Rash,indicates,Migraine,disease
Pain Relievers,prescribed_by,Endocrinologist,specialist
COVID-19,treated_by,Antivirals,treatment
Tuberculosis,managed_by,Neurologist,specialist
COVID-19,associated_with,Bronchitis,disease
Conjunctivitis,causes,Chest Pain,symptom
Chest Pain,indicates,Influenza,disease
Arthritis,treated_by,IV Fluids,treatment
Pneumonia,causes,Sore Throat,symptom
Rash,indicates,COVID-19,disease
Shortness of Breath,indicates,Arthritis,disease
Angina,associated_with,COVID-19,disease
Influenza,causes,Cough,symptom
Tuberculosis,diagnosed_by,ECG,diagnostic_test
COVID-19,treated_by,NSAIDs,treatment
Migraine,diagnosed_by,X-Ray,diagnostic_test
Asthma,treated_by,IV Fluids,treatment
Blurred Vision,indicates,Influenza,disease
Blurred Vision,indicates,Diabetes,disease
Nausea,indicates,Conjunctivitis,disease
Angina,associated_with,Hypertension,disease
Beta Blockers,prescribed_by,Rheumatologist,specialist
COVID-19,managed_by,Infectious Disease Specialist,specialist
Migraine,managed_by,Neurologist,specialist
Shortness of Breath,indicates,Tuberculosis,disease
Diabetes,treated_by,Insulin,treatment
Dizziness,indicates,Influenza,disease
Tuberculosis,associated_with,COVID-19,disease
Pneumonia,diagnosed_by,MRI,diagnostic_test
Bronchitis,treated_by,IV Fluids,treatment
Nausea,indicates,Asthma,disease
Tuberculosis,managed_by,Endocrinologist,specialist
Asthma,treated_by,NSAIDs,treatment
Diabetes,diagnosed_by,CT Scan,diagnostic_test
Tuberculosis,treated_by,ACE Inhibitors,treatment
Fatigue,indicates,Hypertension,disease
Migraine,managed_by,Pulmonologist,specialist
Influenza,diagnosed_by,CT Scan,diagnostic_test
Antivirals,prescribed_by,Dermatologist,specialist
Beta Blockers,prescribed_by,Neurologist,specialist
Asthma,diagnosed_by,X-Ray,diagnostic_test
Eye Drops,prescribed_by,Endocrinologist,specialist
Fever,indicates,Tuberculosis,disease
Pneumonia,associated_with,Influenza,disease
Conjunctivitis,causes,Fatigue,symptom
Influenza,diagnosed_by,Blood Test,diagnostic_test
Angina,causes,Joint Pain,symptom
Asthma,associated_with,Angina,disease
Hypertension,managed_by,Cardiologist,specialist
Pneumonia,managed_by,Cardiologist,specialist
Diabetes,associated_with,Hypertension,disease
Angina,managed_by,Infectious Disease Specialist,specialist
Diabetes,treated_by,ACE Inhibitors,treatment
Migraine,associated_with,Asthma,disease
Bronchitis,causes,Headache,symptom
Conjunctivitis,managed_by,Endocrinologist,specialist
Tuberculosis,causes,Sore Throat,symptom
Joint Pain,indicates,Angina,disease
Arthritis,causes,Blurred Vision,symptom
Pneumonia,diagnosed_by,CT Scan,diagnostic_test
Inhalers,prescribed_by,Dermatologist,specialist
Migraine,diagnosed_by,Blood Test,diagnostic_test
Asthma,treated_by,Antibiotics,treatment
ACE Inhibitors,prescribed_by,General Practitioner,specialist
Asthma,diagnosed_by,MRI,diagnostic_test
Tuberculosis,associated_with,Hypertension,disease
Fever,indicates,Influenza,disease
COVID-19,associated_with,Arthritis,disease
Bronchitis,causes,Joint Pain,symptom
Hypertension,diagnosed_by,MRI,diagnostic_test
Influenza,diagnosed_by,X-Ray,diagnostic_test
Influenza,causes,Shortness of Breath,symptom
Influenza,treated_by,NSAIDs,treatment
Asthma,managed_by,Rheumatologist,specialist
Asthma,diagnosed_by,ECG,diagnostic_test
Arthritis,causes,Nausea,symptom
Influenza,diagnosed_by,ECG,diagnostic_test
Blurred Vision,indicates,Conjunctivitis,disease
Diabetes,treated_by,Antivirals,treatment
COVID-19,causes,Shortness of Breath,symptom
Bronchitis,associated_with,Angina,disease
Bronchitis,treated_by,Insulin,treatment
Migraine,treated_by,Beta Blockers,treatment
Fever,indicates,Bronchitis,disease
Influenza,associated_with,Arthritis,disease
Arthritis,managed_by,Neurologist,specialist
Beta Blockers,prescribed_by,Neurologist,specialist
Influenza,treated_by,Pain Relievers,treatment
Diabetes,causes,Blurred Vision,symptom
Influenza,treated_by,Eye Drops,treatment
Conjunctivitis,associated_with,Hypertension,disease
Sore Throat,indicates,Influenza,disease
Cough,indicates,Asthma,disease
Hypertension,causes,Fatigue,symptom
Arthritis,treated_by,IV Fluids,treatment
Tuberculosis,associated_with,Pneumonia,disease
Bronchitis,managed_by,Ophthalmologist,specialist
Diabetes,causes,Chest Pain,symptom
Diabetes,associated_with,Conjunctivitis,disease
Arthritis,managed_by,Endocrinologist,specialist
Angina,treated_by,Antivirals,treatment
Hypertension,diagnosed_by,X-Ray,diagnostic_test
Diabetes,associated_with,Diabetes,disease
Asthma,causes,Shortness of Breath,symptom
Tuberculosis,causes,Shortness of Breath,symptom
COVID-19,diagnosed_by,Urinalysis,diagnostic_test
COVID-19,treated_by,Eye Drops,treatment
Migraine,diagnosed_by,MRI,diagnostic_test
Influenza,causes,Headache,symptom
Fever,indicates,Bronchitis,disease
Influenza,associated_with,Bronchitis,disease
Bronchitis,diagnosed_by,MRI,diagnostic_test
Antibiotics,prescribed_by,Rheumatologist,specialist
Tuberculosis,diagnosed_by,Blood Test,diagnostic_test
Arthritis,diagnosed_by,ECG,diagnostic_test
Arthritis,associated_with,Conjunctivitis,disease
Asthma,diagnosed_by,Blood Test,diagnostic_test
Migraine,causes,Nausea,symptom
Hypertension,managed_by,General Practitioner,specialist
Influenza,associated_with,Diabetes,disease
COVID-19,causes,Headache,symptom
Fever,indicates,Asthma,disease
Conjunctivitis,associated_with,Angina,disease
Asthma,diagnosed_by,MRI,diagnostic_test
Conjunctivitis,associated_with,COVID-19,disease
Nausea,indicates,Conjunctivitis,disease
Angina,associated_with,Tuberculosis,disease
Nausea,indicates,Hypertension,disease
Hypertension,treated_by,NSAIDs,treatment
Bronchitis,associated_with,Tuberculosis,disease
Arthritis,treated_by,Nitroglycerin,treatment
Migraine,diagnosed_by,Blood Test,diagnostic_test
Migraine,causes,Shortness of Breath,symptom
Pneumonia,causes,Shortness of Breath,symptom
COVID-19,treated_by,ACE Inhibitors,treatment
Insulin,prescribed_by,Cardiologist,specialist
Headache,indicates,Diabetes,disease
Diabetes,diagnosed_by,ECG,diagnostic_test
Rash,indicates,Migraine,disease
Tuberculosis,associated_with,Angina,disease
Tuberculosis,associated_with,Bronchitis,disease
Joint Pain,indicates,Migraine,disease
Conjunctivitis,treated_by,IV Fluids,treatment
Conjunctivitis,managed_by,Ophthalmologist,specialist
COVID-19,diagnosed_by,Urinalysis,diagnostic_test
Angina,associated_with,Angina,disease
Bronchitis,diagnosed_by,ECG,diagnostic_test
Fatigue,indicates,Hypertension,disease
Influenza,treated_by,Nitroglycerin,treatment
Arthritis,managed_by,Cardiologist,specialist
Chest Pain,indicates,Diabetes,disease
Pneumonia,associated_with,Angina,disease
Eye Drops,prescribed_by,Rheumatologist,specialist
Pneumonia,treated_by,Eye Drops,treatment
COVID-19,diagnosed_by,Blood Test,diagnostic_test
Bronchitis,diagnosed_by,Urinalysis,diagnostic_test
Conjunctivitis,causes,Headache,symptom
Inhalers,prescribed_by,Rheumatologist,specialist
Dizziness,indicates,Diabetes,disease
Bronchitis,associated_with,Asthma,disease
Bronchitis,managed_by,Infectious Disease Specialist,specialist
Influenza,managed_by,Rheumatologist,specialist
Shortness of Breath,indicates,Tuberculosis,disease
Tuberculosis,diagnosed_by,Blood Test,diagnostic_test
Diabetes,treated_by,Corticosteroids,treatment
Hypertension,causes,Rash,symptom
Asthma,managed_by,Infectious Disease Specialist,specialist
Influenza,treated_by,Antibiotics,treatment
Cough,indicates,Arthritis,disease
Diabetes,diagnosed_by,MRI,diagnostic_test
Angina,causes,Blurred Vision,symptom
COVID-19,diagnosed_by,CT Scan,diagnostic_test
Migraine,causes,Chest Pain,symptom
Arthritis,associated_with,Diabetes,disease
Conjunctivitis,treated_by,ACE Inhibitors,treatment
Bronchitis,treated_by,Nitroglycerin,treatment
Cough,indicates,Conjunctivitis,disease
Antivirals,prescribed_by,Dermatologist,specialist
Cough,indicates,Diabetes,disease
Cough,indicates,Influenza,disease
Tuberculosis,managed_by,Ophthalmologist,specialist
Hypertension,treated_by,Pain Relievers,treatment
Diabetes,diagnosed_by,Urinalysis,diagnostic_test
Tuberculosis,treated_by,NSAIDs,treatment
COVID-19,causes,Chest Pain,symptom
COVID-19,diagnosed_by,Blood Test,diagnostic_test
Angina,managed_by,Pulmonologist,specialist
COVID-19,associated_with,Hypertension,disease
Pneumonia,treated_by,Corticosteroids,treatment
Pneumonia,associated_with,Hypertension,disease
Asthma,treated_by,Insulin,treatment
Fatigue,indicates,Migraine,disease
Inhalers,prescribed_by,Infectious Disease Specialist,specialist
Bronchitis,diagnosed_by,CT Scan,diagnostic_test
Conjunctivitis,managed_by,General Practitioner,specialist
Hypertension,causes,Headache,symptom
COVID-19,diagnosed_by,ECG,diagnostic_test
Tuberculosis,associated_with,Tuberculosis,disease
Migraine,causes,Fever,symptom
Antibiotics,prescribed_by,Infectious Disease Specialist,specialist
Fever,indicates,Pneumonia,disease
Migraine,associated_with,Asthma,disease
Diabetes,associated_with,Diabetes,disease
Insulin,prescribed_by,Dermatologist,specialist
Conjunctivitis,associated_with,Conjunctivitis,disease
Corticosteroids,prescribed_by,Cardiologist,specialist
Bronchitis,treated_by,Corticosteroids,treatment
Asthma,treated_by,Pain Relievers,treatment
Influenza,managed_by,Rheumatologist,specialist
Conjunctivitis,diagnosed_by,CT Scan,diagnostic_test
Migraine,managed_by,Pulmonologist,specialist
Angina,treated_by,Beta Blockers,treatment
Bronchitis,diagnosed_by,MRI,diagnostic_test
Tuberculosis,managed_by,Infectious Disease Specialist,specialist
Hypertension,associated_with,Angina,disease
Hypertension,diagnosed_by,ECG,diagnostic_test
Nausea,indicates,Conjunctivitis,disease
Dizziness,indicates,COVID-19,disease
COVID-19,managed_by,Pulmonologist,specialist
Inhalers,prescribed_by,Pulmonologist,specialist
Nitroglycerin,prescribed_by,General Practitioner,specialist
Hypertension,managed_by,Rheumatologist,specialist
Diabetes,causes,Fever,symptom
Pain Relievers,prescribed_by,Neurologist,specialist
Influenza,associated_with,Angina,disease
Chest Pain,indicates,Pneumonia,disease
COVID-19,diagnosed_by,CT Scan,diagnostic_test
Asthma,managed_by,Ophthalmologist,specialist
Antivirals,prescribed_by,Ophthalmologist,specialist
Pneumonia,associated_with,Conjunctivitis,disease
Insulin,prescribed_by,Cardiologist,specialist
Influenza,causes,Shortness of Breath,symptom
Dizziness,indicates,Diabetes,disease
Hypertension,diagnosed_by,CT Scan,diagnostic_test
Joint Pain,indicates,Diabetes,disease
Fever,indicates,Diabetes,disease
Arthritis,diagnosed_by,Blood Test,diagnostic_test
Diabetes,causes,Cough,symptom
Angina,treated_by,Nitroglycerin,treatment
Tuberculosis,treated_by,ACE Inhibitors,treatment
Corticosteroids,prescribed_by,Dermatologist,specialist
Arthritis,diagnosed_by,Blood Test,diagnostic_test
Tuberculosis,managed_by,Neurologist,specialist
Pneumonia,treated_by,Antibiotics,treatment
COVID-19,associated_with,Conjunctivitis,disease
Nausea,indicates,Conjunctivitis,disease
Corticosteroids,prescribed_by,Infectious Disease Specialist,specialist
Antivirals,prescribed_by,Dermatologist,specialist
Antibiotics,prescribed_by,Dermatologist,specialist
Diabetes,causes,Blurred Vision,symptom
Inhalers,prescribed_by,Pulmonologist,specialist
Blurred Vision,indicates,Hypertension,disease
Migraine,diagnosed_by,Blood Test,diagnostic_test
Influenza,diagnosed_by,Blood Test,diagnostic_test
Arthritis,managed_by,Neurologist,specialist
Eye Drops,prescribed_by,Rheumatologist,specialist
Hypertension,diagnosed_by,X-Ray,diagnostic_test
Hypertension,causes,Nausea,symptom
Tuberculosis,causes,Sore Throat,symptom
COVID-19,diagnosed_by,CT Scan,diagnostic_test
Asthma,managed_by,Infectious Disease Specialist,specialist
Joint Pain,indicates,Bronchitis,disease
Hypertension,associated_with,Diabetes,disease
Pneumonia,causes,Sore Throat,symptom
Influenza,diagnosed_by,MRI,diagnostic_test
Influenza,associated_with,Influenza,disease
Diabetes,diagnosed_by,Urinalysis,diagnostic_test
Diabetes,managed_by,Cardiologist,specialist
Migraine,diagnosed_by,CT Scan,diagnostic_test
Hypertension,causes,Blurred Vision,symptom
Inhalers,prescribed_by,Cardiologist,specialist
Migraine,managed_by,Cardiologist,specialist
Eye Drops,prescribed_by,General Practitioner,specialist
Migraine,causes,Blurred Vision,symptom
Asthma,treated_by,Inhalers,treatment
Asthma,treated_by,Pain Relievers,treatment
Tuberculosis,treated_by,NSAIDs,treatment
ACE Inhibitors,prescribed_by,Pulmonologist,specialist
Pneumonia,causes,Headache,symptom
Asthma,associated_with,COVID-19,disease
Sore Throat,indicates,Tuberculosis,disease
Sore Throat,indicates,Diabetes,disease
Pneumonia,causes,Shortness of Breath,symptom
Influenza,diagnosed_by,ECG,diagnostic_test
Arthritis,treated_by,Insulin,treatment
COVID-19,diagnosed_by,MRI,diagnostic_test
Antivirals,prescribed_by,Neurologist,specialist
Diabetes,treated_by,Antibiotics,treatment
Conjunctivitis,managed_by,Rheumatologist,specialist
Bronchitis,treated_by,Corticosteroids,treatment
Tuberculosis,causes,Sore Throat,symptom
Arthritis,associated_with,Migraine,disease
Angina,managed_by,Infectious Disease Specialist,specialist
Migraine,causes,Cough,symptom
Conjunctivitis,diagnosed_by,CT Scan,diagnostic_test
Diabetes,treated_by,Pain Relievers,treatment
Diabetes,causes,Joint Pain,symptom
Rash,indicates,Asthma,disease
Tuberculosis,causes,Dizziness,symptom
Cough,indicates,Influenza,disease
Migraine,diagnosed_by,CT Scan,diagnostic_test
Dizziness,indicates,Asthma,disease
Fatigue,indicates,Hypertension,disease
Bronchitis,associated_with,Angina,disease
Asthma,managed_by,Rheumatologist,specialist
Pneumonia,treated_by,Eye Drops,treatment
Bronchitis,managed_by,Neurologist,specialist
Influenza,causes,Nausea,symptom
Hypertension,managed_by,Neurologist,specialist
Influenza,associated_with,Bronchitis,disease
Pneumonia,associated_with,Pneumonia,disease
Eye Drops,prescribed_by,Dermatologist,specialist
Bronchitis,causes,Nausea,symptom
Influenza,managed_by,Cardiologist,specialist
COVID-19,diagnosed_by,MRI,diagnostic_test
Hypertension,treated_by,NSAIDs,treatment
Angina,treated_by,Antibiotics,treatment
Conjunctivitis,causes,Shortness of Breath,symptom
Influenza,diagnosed_by,ECG,diagnostic_test
NSAIDs,prescribed_by,Cardiologist,specialist
Tuberculosis,causes,Cough,symptom
Migraine,causes,Fatigue,symptom
Arthritis,treated_by,Nitroglycerin,treatment
Blurred Vision,indicates,Diabetes,disease
Diabetes,managed_by,Rheumatologist,specialist
Arthritis,associated_with,Angina,disease
Antibiotics,prescribed_by,Rheumatologist,specialist
Migraine,diagnosed_by,X-Ray,diagnostic_test
Arthritis,causes,Joint Pain,symptom
Hypertension,causes,Rash,symptom
Fever,indicates,Conjunctivitis,disease
Angina,treated_by,Antivirals,treatment
Sore Throat,indicates,Diabetes,disease
Pain Relievers,prescribed_by,Infectious Disease Specialist,specialist
Arthritis,treated_by,Antivirals,treatment
Nausea,indicates,Migraine,disease
Tuberculosis,causes,Nausea,symptom
COVID-19,associated_with,Bronchitis,disease
Diabetes,diagnosed_by,X-Ray,diagnostic_test
Hypertension,diagnosed_by,Urinalysis,diagnostic_test
Rash,indicates,COVID-19,disease
ACE Inhibitors,prescribed_by,General Practitioner,specialist
Pneumonia,diagnosed_by,ECG,diagnostic_test
Hypertension,diagnosed_by,Urinalysis,diagnostic_test
